homenames,home_previous,previous,racsid,service,suburbs,states,post_code,hrefdata
Bolton Clarke Inverpine 5282,RSL Care RDNS Limited,RSL Care InverpineInverpine Retirement Community,5282,Residential,Murrumba Downs,Queensland,4503,/services/bolton-clarke-inverpine-5282
Bolton Clarke Macquarie View - Bolton Point 0410,RSL Care RDNS Limited,Macquarie Shores HostelBolton Clarke Macquarie Shores,0410,Residential,Bolton Point,New South Wales,2283,/services/bolton-clarke-macquarie-view-bolton-point-0410
Bolton Clarke Milford Grange 5092,RSL Care RDNS Limited,RSL Care Milford GrangeRSL Care Milford Grange Retirement CommunityMilford Grange Retirement Community,5092,Residential,Eastern Heights,Queensland,4305,/services/bolton-clarke-milford-grange-5092
Bolton Clarke Moreton Shores 5593,RSL Care RDNS Limited,RSL Care Moreton Shores RSL Care Moreton Shores Retirement Community,5593,Residential,Thornlands,Queensland,4164,/services/bolton-clarke-moreton-shores-5593
Bolton Clarke Pioneers Hostel 5069,RSL Care RDNS Limited,RSL Care Pioneers Hostel,5069,Residential,Longreach,Queensland,4730,/services/bolton-clarke-pioneers-hostel-5069
Bolton Clarke Pioneers Nursing Home 5988,RSL Care RDNS Limited,RSL Care Pioneers Nursing Home,5988,Residential,Longreach,Queensland,4730,/services/bolton-clarke-pioneers-nursing-home-5988
Bolton Clarke Rowes Bay 5286,RSL Care RDNS Limited,RSL Care Rowes Bay,5286,Residential,Rowes Bay,Queensland,4810,/services/bolton-clarke-rowes-bay-5286
Bolton Clarke Sunset Ridge 5099,RSL Care RDNS Limited,RSL Care Sunset Ridge Retirement CommunitySunset Ridge Retirement Community,5099,Residential,Zilzie,Queensland,4710,/services/bolton-clarke-sunset-ridge-5099
Bolton Clarke Talbarra 5530,RSL Care RDNS Limited,RSL Care Talbarra,5530,Residential,Waterford,Queensland,4133,/services/bolton-clarke-talbarra-5530
Bolton Clarke Tantula Rise 5498,RSL Care RDNS Limited,RSL Care Tantula Rise,5498,Residential,Alexandra Headland,Queensland,4572,/services/bolton-clarke-tantula-rise-5498
Bolton Clarke Treetops 5940 (Closed),RSL Care RDNS Limited,RSL Care Treetops,5940,Residential,New Farm,Queensland,4005,/services/bolton-clarke-treetops-5940-closed
Bolton Clarke Westhaven 5324,RSL Care RDNS Limited,RSL Care Westhaven,5324,Residential,Toowoomba,Queensland,4350,/services/bolton-clarke-westhaven-5324
Bolton Clarke Winders Lodge 0224,RSL Care RDNS Limited,RSL Care Winders Lodge,0224,Residential,Banora Point,New South Wales,2486,/services/bolton-clarke-winders-lodge-0224
Boneham Aged Care Service Incorporated 6026,Boneham Aged Care Services Incorporated,Mary Cecelia Hart Court Hostel,6026,Residential,Millicent,South Australia,5280,/services/boneham-aged-care-service-incorporated-6026
Bonney Lodge 6149,Riverland Mallee Coorong Local Health Network Incorporated,Booroongen Djugun Aboriginal Corporation,6149,Residential,Barmera,South Australia,5345,/services/bonney-lodge-6149
Boronia Residential Aged Care 4250,Aged Care Group Pty Ltd,Coogee Aged Care FacilityCoogee Private Nursing Home,4250,Residential,Boronia,Victoria,3155,/services/boronia-residential-aged-care-4250
Botany Gardens Nursing Home 2510 (Closed),Denever Pty Ltd,BowderCare CentreBowder Lodge,2510,Residential,Carlton,New South Wales,2218,/services/botany-gardens-nursing-home-2510-closed
Bowder Care Centre 5156,Sundale Ltd,Braemar House Nursing Home,5156,Residential,Nambour,Queensland,4560,/services/bowder-care-centre-5156
Bowral House Nursing Home 2644,Thompson Health Care Pty Ltd,Embracia on BribieEden on Bribie,2644,Residential,Bowral,New South Wales,2576,/services/bowral-house-nursing-home-2644
Boyne Russell House 4466,Melbourne Health,"Eventide Nursing Home SandgateEventide, Sandgate Nursing Home",4466,Residential,Brunswick,Victoria,3056,/services/boyne-russell-house-4466
Bracken House Dubbo 0215,United Protestant Association of NSW Limited,Brightwater - Birralee Care FacilityBrightwater - Birralee Aged Care Facility,0215,Residential,Dubbo,New South Wales,2830,/services/bracken-house-dubbo-0215
Braemar Cooinda 7450,The Commissioners of the Presbyterian Church in WA,Brightwater - Huntingdale Care Facility,7450,Residential,Willagee,Western Australia,6156,/services/braemar-cooinda-7450
Braemar House 7758,The Commissioners of the Presbyterian Church in WA,Brightwater - Joondalup Care FacilityBrightwater Joondalup Aged Care Facility,7758,Residential,East Fremantle,Western Australia,6158,/services/braemar-house-7758
Braemar Village 7077,The Commissioners of the Presbyterian Church in WA,Brightwater KingsleyBrightwater - Kingsley Care Facility,7077,Residential,Willagee,Western Australia,6156,/services/braemar-village-7077
Brentwood Nursing Home 4026,Opeka Lodge Pty Ltd,Brightwater - Madeley Care Facility,4026,Residential,Geelong,Victoria,3220,/services/brentwood-nursing-home-4026
Brentwood Residential Aged Care Facility 2600,Allity Pty Ltd,Brightwater - Onslow Gardens Care Facility,2600,Residential,Parramatta,New South Wales,2150,/services/brentwood-residential-aged-care-facility-2600
Brightwater Oxford Gardens 7238,Brightwater Care Group Limited,Brightwater - Oxford Gardens Care Facility,7238,Residential,Joondalup,Western Australia,6027,/services/brightwater-oxford-gardens-7238
Brightwater Redcliffe 7201,Brightwater Care Group Limited,Brightwater - Redcliffe Care Facility,7201,Residential,Redcliffe,Western Australia,6104,/services/brightwater-redcliffe-7201
Brightwater South Lake 7194,Brightwater Care Group Limited,Brightwater - South Lake Care FacilityBrightwater South Lake Aged Care Facility,7194,Residential,South Lake,Western Australia,6164,/services/brightwater-south-lake-7194
Brightwater The Cove 7282,Brightwater Care Group Limited,Brightwater - The Cove Care FacilityBrightwater The Cove Care Facility,7282,Residential,Dudley Park,Western Australia,6210,/services/brightwater-cove-7282
Brightwater The Oaks 7240,Brightwater Care Group Limited,Brightwater - The Oaks Care Facility,7240,Residential,Waikiki,Western Australia,6169,/services/brightwater-oaks-7240
Brightwater The Village 7415,Brightwater Care Group Limited,Brightwater - The Village Care Facility,7415,Residential,Inglewood,Western Australia,6052,/services/brightwater-village-7415
Brimlea Aged Care 4503,Five Star Care Pty Ltd,Brookfield Village Care Centre,4503,Residential,Murrumbeena,Victoria,3163,/services/brimlea-aged-care-4503
Brookfield Green 5046,The Baptist Union of Queensland,Sambell Lodge,5046,Residential,Brookfield,Queensland,4069,/services/brookfield-green-5046
Brother Alberts Home 0110,Holy Family Services,Buderim Views Aged Care,0110,Residential,Marayong,New South Wales,2148,/services/brother-alberts-home-0110
Bupa Ballarat 3983,Bupa Aged Care Australia Pty Ltd,Ballarat Community Aged Care,3983,Residential,Delacombe,Victoria,3356,/services/bupa-ballarat-3983
Bupa Ballina 0980,Bupa Aged Care Australia Pty Ltd,Ballina Community Aged Care,0980,Residential,Ballina,New South Wales,2411,/services/bupa-ballina-0980
Bupa Bankstown 0979,Bupa Aged Care Australia Pty Ltd,Bupa Bellarine,0979,Residential,Yagoona,New South Wales,2199,/services/bupa-bankstown-0979
Bupa Banora Point 0521,Bupa Aged Care Australia Pty Ltd,Calwell Community Aged Care,0521,Residential,Tweed Heads,New South Wales,2485,/services/bupa-banora-point-0521
Bupa Barrabool 3635,Bupa Aged Care Australia Pty Ltd,Clayton Community Aged Careundefined,3635,Residential,Belmont,Victoria,3216,/services/bupa-barrabool-3635
Bupa Coburg 3620,Bupa Aged Care Australia Pty Ltd,Eastwood Community Aged Care,3620,Residential,Coburg,Victoria,3058,/services/bupa-coburg-3620
Bupa Croydon 4279,Bupa Aged Care Australia Pty Ltd,Echuca Residential Care Facility,4279,Residential,Croydon,Victoria,3136,/services/bupa-croydon-4279
Bupa Donvale 4110,Bupa Aged Care Australia Pty Ltd,Eden Community Aged Care,4110,Residential,Donvale,Victoria,3111,/services/bupa-donvale-4110
Bupa Dural 0570,Bupa Aged Care Australia Pty Ltd,Shalom Toowoomba,0570,Residential,Dural,New South Wales,2158,/services/bupa-dural-0570
Bupa Eastwood 3939,Bupa Aged Care Australia Pty Ltd,Kyneton Community Aged Care,3939,Residential,Bairnsdale,Victoria,3875,/services/bupa-eastwood-3939
Bupa Echuca 3964,Bupa Aged Care Australia Pty Ltd,Mildura Community Aged Care,3964,Residential,Echuca,Victoria,3564,/services/bupa-echuca-3964
Bupa Mosman 0553,Bupa Aged Care Australia Pty Ltd,Sheridan Gardens Care Facility,0553,Residential,Mosman,New South Wales,2088,/services/bupa-mosman-0553
Bupa Mt Sheridan 5721,Bupa Aged Care Australia Pty Ltd,Glenelg Community Aged CareGlenelg Aged Care,5721,Residential,White Rock,Queensland,4870,/services/bupa-mt-sheridan-5721
Bupa New Farm 5847,Bupa Aged Care Australia Pty Ltd,Bupa Potsville BeachSeabreeze Community Aged Care,5847,Residential,New Farm,Queensland,4005,/services/bupa-new-farm-5847
Bupa North Rocks 2523,Bupa Aged Care Australia Pty Ltd,Vaucluse Gardens,2523,Residential,North Rocks,New South Wales,2151,/services/bupa-north-rocks-2523
Bupa Toowoomba 5856,Bupa Aged Care Australia Pty Ltd,Bupa Toowoomba,5856,Residential,Toowoomba,Queensland,4350,/services/bupa-toowoomba-5856
Bupa Traralgon 3977,Bupa Aged Care Australia Pty Ltd,Traralgon Community Aged Care,3977,Residential,Traralgon,Victoria,3844,/services/bupa-traralgon-3977
Bupa Tugun 5380,Bupa Aged Care Australia Pty Ltd,Tugun Aged Care,5380,Residential,Tugun,Queensland,4224,/services/bupa-tugun-5380
Bupa Tumut 2690,Bupa Aged Care Australia Pty Ltd,Woodend Community Aged Care,2690,Residential,Tumut,New South Wales,2720,/services/bupa-tumut-2690
Bupa Waratah 0728,Bupa Aged Care Australia Pty Ltd,Burswood Annie Bryson McKeown LodgeBaptistcare Annie Bryson McKeown LodgeBaptistcare Annie Bryson McKeownAnnie Bryson McKeown Lodge,0728,Residential,Waratah,New South Wales,2298,/services/bupa-waratah-0728
Bupa Willoughby 0765,Bupa Aged Care Australia Pty Ltd,Burswood Gwen Hardie LodgeBaptistcare Gwen Hardie LodgeGwen Hardie Lodge,0765,Residential,Willoughby,New South Wales,2068,/services/bupa-willoughby-0765
Bupa Windsor 3388,Bupa Aged Care Australia Pty Ltd,Burswood Sunshine ParkBaptistcare Sunshine ParkSunshine Park Hostel,3388,Residential,Windsor,Victoria,3181,/services/bupa-windsor-3388
Bupa Wodonga  4303,Bupa Aged Care Australia Pty Ltd,Australian Orthodox Home for the Aged,4303,Residential,Wodonga,Victoria,3690,/services/bupa-wodonga-4303
Bupa Woodend 4184,Bupa Aged Care Australia Pty Ltd,Cabrini Residential Care,4184,Residential,Woodend,Victoria,3442,/services/bupa-woodend-4184
Caloundra Adventist Retirement Village 5268,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Calvary Retirement Community Cessnock,5268,Residential,Little Mountain,Queensland,4551,/services/caloundra-adventist-retirement-village-5268
Calvary Cessnock Retirement Community 1474,Calvary Retirement Communities Limited,Cooinda Hostel,1474,Residential,Cessnock,New South Wales,2325,/services/calvary-cessnock-retirement-community-1474
Calvary Community Care Services 300105,Calvary Community Care,Calvary Flora McDonald Retirment CommunityMary MacKillop Care Flora McDonaldMary MacKillop Care Flora MacDonaldFlora McDonald LodgeFlora McDonald Lodge Nursing Home,300105,Home services,Mt Waverley,Victoria,3149,/services/calvary-community-care-services-300105
Calvary Cooinda Retirement Community 0150,Calvary Retirement Communities Limited,Calvary Retirement Community Canberra,0150,Residential,Singleton,New South Wales,2330,/services/calvary-cooinda-retirement-community-0150
Calvary Flora McDonald Retirement Community 6816,Calvary Retirement Communities Limited,Mount Carmel Village,6816,Residential,Cowandilla,South Australia,5033,/services/calvary-flora-mcdonald-retirement-community-6816
Calvary Haydon Retirement Community 2930,Calvary Retirement Communities Limited,Calvary Mt Providence Retirement CommunityMt Providence Village,2930,Residential,Bruce,Australian Capital Territory,2617,/services/calvary-haydon-retirement-community-2930
Calvary Mt Carmel Retirement Community 0334,Calvary Retirement Communities Limited,Nazareth Village,0334,Residential,Maitland,New South Wales,2320,/services/calvary-mt-carmel-retirement-community-0334
Calvary Muswellbrook Retirement Community 0120,Calvary Retirement Communities Limited,Marian Hostel,0120,Residential,Muswellbrook,New South Wales,2333,/services/calvary-muswellbrook-retirement-community-0120
Calvary Nazareth Retirement Community 0461,Calvary Retirement Communities Limited,Mary Potter Nursing Home,0461,Residential,Belmont North,New South Wales,2280,/services/calvary-nazareth-retirement-community-0461
Calvary Ryde Retirement Community - Marian Residential Care 0345 (Closed),Calvary Retirement Communities Limited,Mary MacKillop Care St Catherine'sSt Catherine's Berri,0345,Residential,Ryde,New South Wales,2112,/services/calvary-ryde-retirement-community-marian-residential-care-0345-closed
Calvary Ryde Retirement Community - Mary Potter Residential Care 2818,Calvary Retirement Communities Limited,Mary MacKillop Care St Catherine'sSt Catherine's Berri,2818,Residential,Ryde,New South Wales,2112,/services/calvary-ryde-retirement-community-mary-potter-residential-care-2818
Calvary St Catherine's Retirement Community 6099,Calvary Retirement Communities Limited,St Francis Village,6099,Residential,Berri,South Australia,5343,/services/calvary-st-catherines-retirement-community-6099
Calvary St Catherine's Retirement Community 6840,Calvary Retirement Communities Limited,St Josephs Nursing HomeSt Joseph's Nursing Home,6840,Residential,Berri,South Australia,5343,/services/calvary-st-catherines-retirement-community-6840
Calvary St Francis Retirement Community 0293,Calvary Retirement Communities Limited,St Martin de Porres Hostel,0293,Residential,Eleebana,New South Wales,2282,/services/calvary-st-francis-retirement-community-0293
Calvary St Joseph's Retirement Community 0576,Calvary Retirement Communities Limited,St Pauls HostelSt Paul's Hostel,0576,Residential,Sandgate,New South Wales,2304,/services/calvary-st-josephs-retirement-community-0576
Calvary St Martin de Porres Retirement Community 0454,Calvary Retirement Communities Limited,Tanilba Bay Hostel,0454,Residential,Waratah,New South Wales,2298,/services/calvary-st-martin-de-porres-retirement-community-0454
Calvary St Paul's Retirement Community 0052,Calvary Retirement Communities Limited,Camberwell Green Aged Care,0052,Residential,Cundletown,New South Wales,2430,/services/calvary-st-pauls-retirement-community-0052
Cambodian Association of Victoria Inc 300524,Cambodian Association of Victoria Inc,Wahroonga Friendship Village Hostel,300524,Home services,Springvale,Victoria,3171,/services/cambodian-association-victoria-inc-300524
Cambridge House 3441,St Vincent's Hospital (Melbourne) Limited,Campbelltown Residential Aged Care,3441,Residential,Collingwood,Victoria,3066,/services/cambridge-house-3441
Campbell Place 3035,Australian Unity Care Services Pty Ltd,Kankinya Aged Care FacilityKankinya Nursing Home,3035,Residential,Glen Waverley,Victoria,3150,/services/campbell-place-3035
Campbelltown Nursing Home 6907,Italian Benevolent Foundation SA Inc,Canossa Home Hostel (Italian),6907,Residential,Campbelltown,South Australia,5074,/services/campbelltown-nursing-home-6907
Canberra Aged Care Facility 2984,Bunyundah Nominees Pty Ltd,Canossa Nursing Home Italian,2984,Residential,Lyneham,Australian Capital Territory,2602,/services/canberra-aged-care-facility-2984
Canberra Nursing Home 2081,Clendon Care Pty Ltd,Ray Lodge,2081,Residential,Lidcombe,New South Wales,2141,/services/canberra-nursing-home-2081
Canning Lodge 7212,City of Canning,Cedarbrook,7212,Residential,Willetton,Western Australia,6155,/services/canning-lodge-7212
Canossa Home 5025,The Corporation of the Order of the Canossian Sisters,Clifford House Care Centre,5025,Residential,Trebonne,Queensland,4850,/services/canossa-home-5025
Canossa Hostel for Ethnic Aged 5153,The Corporation of the Order of the Canossian Sisters,Colthup Home Care Centre,5153,Residential,Oxley,Queensland,4075,/services/canossa-hostel-ethnic-aged-5153
Canossa Nursing Home 5861,The Corporation of the Order of the Canossian Sisters,Carinity Aged Care-Fairfield Grange,5861,Residential,Trebonne,Queensland,4850,/services/canossa-nursing-home-5861
Carinity Hilltop 5048,The Baptist Union of Queensland,Hilltop Gardens Care Centre,5048,Residential,Kelvin Grove,Queensland,4059,/services/carinity-hilltop-5048
Carinity Karinya Place 5045,The Baptist Union of Queensland,Karinya Village Care Centre,5045,Residential,Laidley,Queensland,4341,/services/carinity-karinya-place-5045
Carinity Kepnock Grove 5261,The Baptist Union of Queensland,Kepnock Grove Retirement CentreKepnock Grove Aged Care Services,5261,Residential,Bundaberg,Queensland,4670,/services/carinity-kepnock-grove-5261
Carinity Shalom 5359,The Baptist Union of Queensland,Shalom Care Services,5359,Residential,North Rockhampton,Queensland,4701,/services/carinity-shalom-5359
Carinity Summit Cottages 5258,The Baptist Union of Queensland,John Cani Estate Aged Hostel,5258,Residential,Mount Morgan,Queensland,4714,/services/carinity-summit-cottages-5258
Carinity Wishart Gardens 5278,The Baptist Union of Queensland,Wishart Village Care Centre,5278,Residential,Wishart,Queensland,4122,/services/carinity-wishart-gardens-5278
Carino Care at Oatley 2163,Carino Care Pty Ltd,Ark Health Care OatleyHillcrest Nursing Home,2163,Residential,Oatley,New South Wales,2223,/services/carino-care-oatley-2163
Carino Care at Rockdale 2525,Carino Care Pty Ltd,Ark Health Care RockdaleRockdale Nursing Home,2525,Residential,Banksia,New South Wales,2216,/services/carino-care-rockdale-2525
Carino Care at Russell Lea 2748,Carino Care Pty Ltd,Ark Health Care Russell LeaRussell Lea Nursing Home,2748,Residential,Russell Lea,New South Wales,2046,/services/carino-care-russell-lea-2748
Carino Care at Sylvania 2513,Carino Care Pty Ltd,Ark Health Care SylvaniaPacific Heights Nursing Home,2513,Residential,Sylvania,New South Wales,2224,/services/carino-care-sylvania-2513
Carinya (Atherton) Hostel 5077,Carinya Home for the Aged,Carinya Nursing Home,5077,Residential,Atherton,Queensland,4883,/services/carinya-atherton-hostel-5077
Carinya Aged Persons Hostel 5180,Western Downs Regional Council,Carinya Of Bicton (Nursing Home),5180,Residential,Miles,Queensland,4415,/services/carinya-aged-persons-hostel-5180
Carmelite 6958,"Southern Cross Care (SA, NT & VIC) Inc.",Southern Cross Care Lourdes ValleySouthern Cross Lourdes Valley,6958,Residential,Myrtle Bank,South Australia,5064,/services/carmelite-6958
Carol Allen House 0540,Anglican Community Services,Chesalon Care Richmond,0540,Residential,Richmond,New South Wales,2753,/services/carol-allen-house-0540
Caroline Chisholm Aged Care Facility 5249,Ozcare,Ozcare Caroline Chisholm,5249,Residential,Currimundi,Queensland,4551,/services/caroline-chisholm-aged-care-facility-5249
Caroline Chisholm Nursing Home 2498,Fresh Fields Aged Care (NSW) - NO 1 Pty Ltd,Carpenter Court,2498,Residential,Lane Cove,New South Wales,2066,/services/caroline-chisholm-nursing-home-2498
Carpenter Court Aged Care Plus Centre 0421,The Salvation Army (NSW) Property Trust,Andrina Private Nursing HomeAndrina Aged Care,0421,Residential,Merewether,New South Wales,2291,/services/carpenter-court-aged-care-plus-centre-0421
Carramar Hostel 5135,NoosaCare Inc,Casa Damore ApartmentsCase Damore Apartments,5135,Residential,Tewantin,Queensland,4565,/services/carramar-hostel-5135
Carramar Hostel 7153,City of Bayswater,Casey Manor Hostel,7153,Residential,Morley,Western Australia,6062,/services/carramar-hostel-7153
Carrum Downs Aged Care 4525,Aged Care Group Pty Ltd,Mt Alexander HospitalMt Alexander Nursing Home,4525,Residential,Carrum Downs,Victoria,3201,/services/carrum-downs-aged-care-4525
Catholic Healthcare Bethlehem House 0096,Catholic Healthcare Limited,Bethlehem House,0096,Residential,Kogarah,New South Wales,2217,/services/catholic-healthcare-bethlehem-house-0096
Catholic Healthcare Blakeney Lodge 0172,Catholic Healthcare Limited,Blakeney Lodge,0172,Residential,Tumut,New South Wales,2720,/services/catholic-healthcare-blakeney-lodge-0172
Catholic Healthcare Bodington 1454,Catholic Healthcare Limited,Bodington,1454,Residential,Wentworth Falls,New South Wales,2782,/services/catholic-healthcare-bodington-1454
Catholic Healthcare Brigidine House 0626,Catholic Healthcare Limited,Brigidine House,0626,Residential,Randwick,New South Wales,2031,/services/catholic-healthcare-brigidine-house-0626
Catholic Healthcare Charles O'Neill Hostel 0539,Catholic Healthcare Limited,Charles O'Neill Hostel,0539,Residential,Mayfield West,New South Wales,2304,/services/catholic-healthcare-charles-oneill-hostel-0539
Catholic Healthcare Coolamon Villa 0208,Catholic Healthcare Limited,Coolamon Villa,0208,Residential,Mullumbimby,New South Wales,2482,/services/catholic-healthcare-coolamon-villa-0208
Catholic Healthcare Emmaus Village 0265,Catholic Healthcare Limited,Emmaus Village,0265,Residential,Kemps Creek,New South Wales,2178,/services/catholic-healthcare-emmaus-village-0265
Catholic Healthcare George Mockler Hostel 0117,Catholic Healthcare Limited,George Mockler HostelGeorge Mockler House,0117,Residential,Mona Vale,New South Wales,2103,/services/catholic-healthcare-george-mockler-hostel-0117
Catholic Healthcare Gertrude Abbott Aged Care 2710,Catholic Healthcare Limited,Gertrude Abbott Aged CareGertrude Abbott Nursing Home,2710,Residential,Surry Hills,New South Wales,2010,/services/catholic-healthcare-gertrude-abbott-aged-care-2710
Catholic Healthcare Holy Spirit Aged Care 0143,Catholic Healthcare Limited,Holy Spirit Aged Care,0143,Residential,Revesby,New South Wales,2212,/services/catholic-healthcare-holy-spirit-aged-care-0143
Catholic Healthcare Holy Spirit Croydon 0622,Catholic Healthcare Limited,Holy Spirit Croydon,0622,Residential,Croydon,New South Wales,2132,/services/catholic-healthcare-holy-spirit-croydon-0622
Catholic Healthcare Holy Spirit Dubbo 1484,Catholic Healthcare Limited,Holy Spirit Dubbo,1484,Residential,Dubbo,New South Wales,2830,/services/catholic-healthcare-holy-spirit-dubbo-1484
Catholic Healthcare Jemalong Residential Village 0066,Catholic Healthcare Limited,Jemalong Residential VillageJemalong Retirement Village,0066,Residential,Forbes,New South Wales,2871,/services/catholic-healthcare-jemalong-residential-village-0066
Catholic Healthcare Lewisham Nursing Home 2674,Catholic Healthcare Limited,Lewisham Nursing Home,2674,Residential,Lewisham,New South Wales,2049,/services/catholic-healthcare-lewisham-nursing-home-2674
Catholic Healthcare Lewisham Retirement Hostel 0286,Catholic Healthcare Limited,Lewisham Retirement HostelLewisham Hostel,0286,Residential,Lewisham,New South Wales,2049,/services/catholic-healthcare-lewisham-retirement-hostel-0286
Catholic Healthcare Macquarie Care Centre 1455,Catholic Healthcare Limited,Macquarie Care Centre,1455,Residential,Bathurst,New South Wales,2795,/services/catholic-healthcare-macquarie-care-centre-1455
Catholic Healthcare Maranatha Lodge 0443,Catholic Healthcare Limited,Maranatha Lodge,0443,Residential,Batehaven,New South Wales,2536,/services/catholic-healthcare-maranatha-lodge-0443
Catholic Healthcare Mater Aged Care 2653 (Closed),Catholic Healthcare Limited,Mater Aged Care,2653,Residential,Forbes,New South Wales,2871,/services/catholic-healthcare-mater-aged-care-2653-closed
Catholic Healthcare Percy Miles Villa 0252,Catholic Healthcare Limited,Percy Miles Villa,0252,Residential,Kirrawee,New South Wales,2232,/services/catholic-healthcare-percy-miles-villa-0252
Catholic Healthcare St Anne's Aged Care 2465,Catholic Healthcare Limited,St Annes Aged CareSt Anne's Aged CareSt Annes Nursing HomeSt Anne's Nursing Home,2465,Residential,Hunters Hill,New South Wales,2110,/services/catholic-healthcare-st-annes-aged-care-2465
Catholic Healthcare St Augustine's Aged Care 2692,Catholic Healthcare Limited,St Augustine's Aged Care,2692,Residential,Coffs Harbour,New South Wales,2450,/services/catholic-healthcare-st-augustines-aged-care-2692
Catholic Healthcare St Bedes Home 0087,Catholic Healthcare Limited,St Bedes Home,0087,Residential,South Hurstville,New South Wales,2221,/services/catholic-healthcare-st-bedes-home-0087
Catholic Healthcare St Catherine's Aged Care 0586,Catholic Healthcare Limited,St Catherine's Aged CareSt Catherines Aged Care Facility,0586,Residential,Gormans Hill,New South Wales,2795,/services/catholic-healthcare-st-catherines-aged-care-0586
Catholic Healthcare St Francis Aged Care 0077,Catholic Healthcare Limited,St Francis Aged CareSt Francis Grafton,0077,Residential,Grafton,New South Wales,2460,/services/catholic-healthcare-st-francis-aged-care-0077
Catholic Healthcare St Francis Aged Care 0376,Catholic Healthcare Limited,St Francis Aged CareSt Francis Aged Care Orange,0376,Residential,Orange,New South Wales,2800,/services/catholic-healthcare-st-francis-aged-care-0376
Catholic Healthcare St James Villa 0111,Catholic Healthcare Limited,St James VillaSt James Villa Matraville,0111,Residential,Matraville,New South Wales,2036,/services/catholic-healthcare-st-james-villa-0111
Catholic Healthcare St John's Villa 0204,Catholic Healthcare Limited,St John's VillaSt John's Villa New Lambton,0204,Residential,New Lambton,New South Wales,2305,/services/catholic-healthcare-st-johns-villa-0204
Catholic Healthcare St Joseph Aged Care 0086,Catholic Healthcare Limited,St Joseph Aged CareSt Joseph Hostel,0086,Residential,Hunters Hill,New South Wales,2110,/services/catholic-healthcare-st-joseph-aged-care-0086
Catholic Healthcare St Joseph's Aged Care 0261,Catholic Healthcare Limited,St Josephs Aged Care,0261,Residential,Coffs Harbour,New South Wales,2450,/services/catholic-healthcare-st-josephs-aged-care-0261
Catholic Healthcare St Mary's Retirement Village 0201,Catholic Healthcare Limited,St Marys Retirement Village,0201,Residential,Berkeley,New South Wales,2506,/services/catholic-healthcare-st-marys-retirement-village-0201
Catholic Healthcare St Mary's Villa 0058,Catholic Healthcare Limited,St Mary's VillaSt Mary's Villa Dubbo,0058,Residential,Dubbo,New South Wales,2830,/services/catholic-healthcare-st-marys-villa-0058
Catholic Healthcare St Paul's Residential Aged Care 1001,Catholic Healthcare Limited,St Paul's Residential Aged Care,1001,Residential,Northbridge,New South Wales,2063,/services/catholic-healthcare-st-pauls-residential-aged-care-1001
Catholic Healthcare St Peter's Lane Cove North 0893,Catholic Healthcare Limited,St Peters Lane Cove North,0893,Residential,Lane Cove North,New South Wales,2066,/services/catholic-healthcare-st-peters-lane-cove-north-0893
Catholic Healthcare The Sister Anne Court Aged Care 0262,Catholic Healthcare Limited,The Sister Anne Court Aged CareThe Sister Anne Court Hostel,0262,Residential,Surry Hills,New South Wales,2010,/services/catholic-healthcare-sister-anne-court-aged-care-0262
Catholic Healthcare Villa Maria Centre 0549,Catholic Healthcare Limited,Villa Maria CentreVilla Maria Aged Care Facility (Unanderra),0549,Residential,Unanderra,New South Wales,2526,/services/catholic-healthcare-villa-maria-centre-0549
Catholic Healthcare Vincentian Aged Care Service 0160,Catholic Healthcare Limited,Vincentian Aged Care Service,0160,Residential,East Sydney,New South Wales,2010,/services/catholic-healthcare-vincentian-aged-care-service-0160
Centennial Lodge 4167,Royal Freemasons Ltd,Royal Freemasons - Centennial Lodge,4167,Residential,Wantirna South,Victoria,3152,/services/centennial-lodge-4167
Central & Upper Burnett District Home for the Aged Hostel 5089,The Central & Upper Burnett District Home for the Aged,Embracia in TemplestoweTemplestowe Grange,5089,Residential,Gayndah,Queensland,4625,/services/central-upper-burnett-district-home-aged-hostel-5089
Central & Upper Burnett District Home for the Aged Nursing Home 5209,The Central & Upper Burnett District Home for the Aged,Christies Beach Residential Care Service,5209,Residential,Gayndah,Queensland,4625,/services/central-upper-burnett-district-home-aged-nursing-home-5209
Churches of Christ Care Aged Care Service Bribie Island 5057,Churches of Christ in Queensland,Bribie Island Retirement Village,5057,Residential,Bongaree,Queensland,4507,/services/churches-christ-care-aged-care-service-bribie-island-5057
Churches of Christ Care Aged Care Service Crows Nest 5109,Churches of Christ in Queensland,Kooltoopa Hostel,5109,Residential,Crows Nest,Queensland,4355,/services/churches-christ-care-aged-care-service-crows-nest-5109
Churches of Christ Care Aged Care Service Inglewood 5287,Churches of Christ in Queensland,Casa Mia Hostel,5287,Residential,Inglewood,Queensland,4387,/services/churches-christ-care-aged-care-service-inglewood-5287
Churches of Christ Care Aged Care Service Toowoomba 5062,Churches of Christ in Queensland,NuMylo Hostel,5062,Residential,Toowoomba,Queensland,4350,/services/churches-christ-care-aged-care-service-toowoomba-5062
Churches of Christ Care Aged Care Service Woorim 5564,Churches of Christ in Queensland,Woorim Lodge,5564,Residential,Woorim,Queensland,4507,/services/churches-christ-care-aged-care-service-woorim-5564
Churches of Christ Care Amaroo Aged Care Service Gatton & District 5124,Churches of Christ in Queensland,Amaroo Hostel,5124,Residential,Gatton,Queensland,4343,/services/churches-christ-care-amaroo-aged-care-service-gatton-district-5124
